time,AQI
2020-08-29 00:00:00,78
2020-08-30 00:00:00,75
2020-08-31 00:00:00,56
2020-07-01 00:00:00,75
2020-07-02 00:00:00,69
2020-07-03 00:00:00,82
2020-07-04 00:00:00,65
2020-07-05 00:00:00,55
2020-07-06 00:00:00,84
2020-07-07 00:00:00,80
2020-07-08 00:00:00,70
2020-07-09 00:00:00,67
2020-07-10 00:00:00,73
2020-07-11 00:00:00,88
2020-07-12 00:00:00,38
2020-07-13 00:00:00,49
2020-07-14 00:00:00,60
2020-07-15 00:00:00,55
2020-07-16 00:00:00,59
2020-07-17 00:00:00,53
2020-07-18 00:00:00,60
2020-07-19 00:00:00,69
2020-07-20 00:00:00,63
2020-07-21 00:00:00,65
2020-07-22 00:00:00,40
2020-07-23 00:00:00,68
2020-07-24 00:00:00,78
2020-07-25 00:00:00,63
2020-07-26 00:00:00,43
2020-07-27 00:00:00,50
2020-07-28 00:00:00,62
2020-07-29 00:00:00,61
2020-07-30 00:00:00,51
2020-07-31 00:00:00,44
2020-06-01 00:00:00,82
2020-06-02 00:00:00,84
2020-06-03 00:00:00,89
2020-06-04 00:00:00,94
2020-06-05 00:00:00,117
2020-06-06 00:00:00,102
2020-06-07 00:00:00,78
2020-06-08 00:00:00,83
2020-06-09 00:00:00,69
2020-06-10 00:00:00,85
2020-06-11 00:00:00,66
2020-06-12 00:00:00,61
2020-06-13 00:00:00,80
2020-06-14 00:00:00,74
2020-06-15 00:00:00,67
2020-06-16 00:00:00,51
2020-06-17 00:00:00,35
2020-06-18 00:00:00,60
2020-06-19 00:00:00,67
2020-06-20 00:00:00,71
2020-06-21 00:00:00,61
2020-06-22 00:00:00,81
2020-06-23 00:00:00,101
2020-06-24 00:00:00,105
2020-06-25 00:00:00,64
2020-06-26 00:00:00,69
2020-06-27 00:00:00,77
2020-06-28 00:00:00,56
2020-06-29 00:00:00,73
2020-06-30 00:00:00,75
2020-05-01 00:00:00,86
2020-05-02 00:00:00,100
2020-05-03 00:00:00,98
2020-05-04 00:00:00,83
2020-05-05 00:00:00,65
2020-05-06 00:00:00,68
2020-05-07 00:00:00,59
2020-05-08 00:00:00,43
2020-05-09 00:00:00,62
2020-05-10 00:00:00,57
2020-05-11 00:00:00,56
2020-05-12 00:00:00,67
2020-05-13 00:00:00,76
2020-05-14 00:00:00,51
2020-05-15 00:00:00,103
2020-05-16 00:00:00,60
2020-05-17 00:00:00,112
2020-05-18 00:00:00,69
2020-05-19 00:00:00,61
2020-05-20 00:00:00,75
2020-05-21 00:00:00,84
2020-05-22 00:00:00,83
2020-05-23 00:00:00,85
2020-05-24 00:00:00,70
2020-05-25 00:00:00,64
2020-05-26 00:00:00,75
2020-05-27 00:00:00,55
2020-05-28 00:00:00,71
2020-05-29 00:00:00,66
2020-05-30 00:00:00,65
2020-05-31 00:00:00,65
2020-04-01 00:00:00,77
2020-04-02 00:00:00,96
2020-04-03 00:00:00,90
2020-04-04 00:00:00,102
2020-04-05 00:00:00,105
